Filename,Paragraph
Processed_A_Radar-Based_Hail_Climatology_of_Australia.txt,"Generated using the official AMS LATEX template v6.1 two-column layout. This work has been submitted for publication. This Work has not yet been peer-reviewed and is provided by the contributing Author(s) as a means to ensure timely dissemination of scholarly and technical work on a noncommercial basis. Copyright and all rights therein are maintained by the Author(s) or by other copyright owners. Copyright in this work may be transferred without further notice, and this version may no longer be accessible."
Processed_A_Radar-Based_Hail_Climatology_of_Australia.txt,"ABSTRACT: In Australia, hailstorms present considerable public safety and economic risks, where they are considered the most damaging natural hazard in terms of annual insured losses. Despite these impacts, the current climatological distribution of hailfall across the continent is still comparatively poorly understood. This study aims to supplement previous national hail climatologies, such as those based on environmental proxies or satellite radiometer data, with more direct radar-based hail observations. The heterogeneous and incomplete nature of the Australian radar network complicates this task and prompts the introduction of some novel methodological elements. We introduce an empirical correction technique to account for hail reflectivity biases at C-band, derived by comparing overlapping C- and S-band observations. Furthermore, we demonstrate how object-based hail swath analysis may be used to produce resolution-invariant hail frequencies, and describe an interpolation method used to create a spatially continuous hail climatology. The Maximum Estimated Size of Hail (MESH) parameter is then applied to a mixture of over fifty operational radars in the Australian radar archive, resulting in the first nationwide, radar-based hail climatology. The spatiotemporal distribution of hailstorms is examined, including their physical characteristics, seasonal and diurnal frequency, and regional variations of such properties across the continent."
Processed_A_Radar-Based_Hail_Climatology_of_Australia.txt,"Hailstorms account for a substantial portion of financial impacts caused by natural hazards globally, resulting in greater than 10 billion USD in insured losses annually in the United States alone (Gunturi and Tippett 2017). In Aus- tralia, hail is typically considered the most costly natural hazard in terms of insured losses, exceeding the combined losses of both bushfires and floods (Schuster et al. 2006; McAneney et al. 2019). Several of the country’s most populous cities have experienced hailstorms that resulted in over 1 billion AUD in losses, including Melbourne in the south (Buckley et al. 2010; Allen 2012), Perth on the west coast (Buckley et al. 2010), and most frequently Bris- bane and Sydney on the east coast (Soderholm et al. 2019; Schuster et al. 2006). Financial losses also appear to be increasing alongside an expansion of the built environment (Changnon et al. 2009), and as of 2019 in Australia, seven of the ten most damaging events occurred in the past decade (adjusted for inflation, Eichner 2019). The significance of these financial impacts underscores the need to quantify the current level of hail hazard in the region."
Processed_A_Radar-Based_Hail_Climatology_of_Australia.txt,"Sousounis 2012; Allen and Karoly 2014; Prein and Hol- land 2018). Recent research by Raupach et al. (2023) addresses these concerns in an Australian context by train- ing their proxy on Australian hail reports, and allowing their formulation to vary latitudinally, which more accu- rately characterized hail environments across the country. However, the accuracy of this approach is limited by the representativeness of the underlying hail report data set, which is affected by the aforementioned biases involving population density and reporting practices. Moreover, hail proxies are known to suffer from the “initiation problem”, whereby only a small fraction of hail-prone environments (often less than 10%, Taszarek et al. 2020) actually un- dergo convective initiation (Tippett et al. 2015). This issue ultimately leads to large uncertainties regarding the true cli- matological frequency of hailfall. In an Australian context, this problem spuriously highlights a spatial hail frequency maximum over the ocean on the east coast (e.g., Prein and Holland 2018). These oceanic overestimations likely stem from an absence of known convection trigger mechanisms for the region, such as sea-breeze or topographic inter- actions (Soderholm et al. 2017b). Raupach et al. (2023) demonstrated that incorporating a series of additional en- vironmental constraints could successfully reduce the false alarm rate for Australian hailstorms, improving the Crit- ical Success Index (CSI) to ∼0.3 when compared to hail reports."
Processed_Australia_Telescope_Search_for_Cosmic_Microwave_Ba.txt,"ABSTRACT In an attempt to detect cosmic microwave background (CMB) anisotropy on arcmin scales, we have made an 8.7-GHz image of a sky region with a resolution of two arcmin and high surface brightness sensitivity using the Australia Telescope Compact Array (ATCA) in an ultra-compact conﬁguration. The foreground discrete-source confusion was estimated from observations with higher resolution at the same frequency and in a scaled array at a lower frequency. Following the subtraction of the foreground confusion, the ﬁeld shows no features in excess of the instrument noise. This limits the CMB anisotropy ﬂat-band power to Qf lat < 23.6 µK with 95 per cent conﬁdence; the ATCA ﬁlter function∗ Fl in multipole l-space peaks at lef f = 4700 and has half maximum values at l = 3350 and 6050."
Processed_Australia_Telescope_Search_for_Cosmic_Microwave_Ba.txt,"Primary CMB anisotropies at small angular scales (l > ∼ 500) are expected to be relatively damped in most struc- ture formation models owing to the the thickness of the last scattering surface and the diﬀusion damping of sub-horizon scale baryon ﬂuctuations in the pre-recombination epoch. However, ﬂat-band powers comparable to the Qf lat detected by COBE DMR (Bennett et al. 1996) may be predicted at multipoles l > 500 in certain cosmological-constant (Λ) and ∼ open-universe manifestations of baryon isocurvature mod- els (Hu & Sugiyama 1994; Hu, Bunn & Sugiyama 1995). The anisotropy power at large l may be critically dependent on the reionization history: small-scale anisotropies may be suppressed by early reionization."
Processed_Australia_Telescope_Search_for_Cosmic_Microwave_Ba.txt,where Qf lat denotes the quadrupole normalization of a ﬂat CMB anisotropy spectrum. The observing scheme and data analysis procedures determine the window function Fl for any experiment. The implications of any observed CMB temperature variance (∆T )2 may be quoted in fairly model independent terms by the inferred Qf lat. This Qf lat may be viewed as being a measure of the CMB anisotropy power spectral density within the l-space window deﬁned by Fl.
Processed_Australia_Telescope_Search_for_Cosmic_Microwave_Ba.txt,"Secondary anisotropies may be generated at the later last-scattering-surface in a reionized universe predominantly owing to second-order mode coupling between density per- turbations and bulk velocities (the ‘Vishniac eﬀect’); this could signiﬁcantly contribute to arcmin-scale (l > 103) ∼ anisotropies particularly if the ionization fraction is high at late times (Hu, Scott & Silk 1994). Persi et al. (1995) esti- mate that this second-order Doppler eﬀect may contribute a 103 in CDM and CDM+Λ band power Qf lat universes and that the anisotropy power may be an order of magnitude higher in certain baryon isocurvature models."
Processed_Australia_Telescope_Search_for_Cosmic_Microwave_Ba.txt,"Anisotropies arising from the S-Z eﬀect, in a cosmo- logical population of groups and clusters of galaxies con- taining hot intra-cluster gas may be an important cause of anisotropy power at l > 103 (Persi et al. 1995; Bond & My- ∼ ers 1996). The S-Z anisotropies are generically non-Gaussian and are expected to have phase-correlations between dif- ferent l modes; their statistical description requires higher- order correlations apart from the Cl power spectra. Hot gas in groups and clusters in scale-invariant CDM universes nor- malized to give σ8 = 1 (the magnitude of dynamical cluster- ing at the present time is quantiﬁed by σ8 which is the rms mass ﬂuctuations in 8h−1-Mpc spheres) is expected to con- 103 (Bond & tribute band powers Qf lat Myers 1996). In COBE-normalized tilted CDM, MDM and models in which the shape factor Γ = Ω◦h is approximately 0.2, the predicted σ8 agrees better with galaxy clustering and in these models the band powers at large l are 1–2 orders of magnitude smaller. The dominant contribution at high l may come from quasar-ionized hot gas bubbles (Aghanim et al. 1996), whose existence is based on plausible theoretical inferences."
Processed_Australia_Telescope_Search_for_Cosmic_Microwave_Ba.txt,errors in the estimation of confusion owing to variability in the foreground sources and calibration errors are eliminated. Deconvolution errors are avoided because the confusion is es- timated as a model ﬁt to visibility data. These observations were made at the highest available frequency of 8.7 GHz to minimize discrete source confusion.
